method,student_id,theta,group_theta,true_score,estimated_score,items,error
RB-Prior,838,-1.876552706041874,Sangat Rendah,18.49802091538058,34.42211055276381,36,15.924089637383233
RB-NoPrior,838,-1.876552706041874,Sangat Rendah,18.49802091538058,30.265848670756625,40,11.767827755376047
CAT-EAP,839,0.6197114459661363,Tinggi,66.69507343313124,56.26523817371291,20,-10.429835259418333
CAT-MLE,839,0.6197114459661363,Tinggi,66.69507343313124,72.34528917896557,21,5.6502157458343305
RB-Prior,839,0.6197114459661363,Tinggi,66.69507343313124,68.37370242214533,34,1.6786289890140864
RB-NoPrior,839,0.6197114459661363,Tinggi,66.69507343313124,76.98630136986301,20,10.291227936731772
CAT-EAP,840,-0.6353623888256293,Rendah,40.77571816808963,35.12043602171476,20,-5.655282146374873
CAT-MLE,840,-0.6353623888256293,Rendah,40.77571816808963,33.8329535654309,21,-6.942764602658734
RB-Prior,840,-0.6353623888256293,Rendah,40.77571816808963,51.000690131124934,40,10.224971963035301
RB-NoPrior,840,-0.6353623888256293,Rendah,40.77571816808963,50.09304056568665,40,9.317322397597017
CAT-EAP,841,-1.1896666590903613,Sangat Rendah,29.847492233987282,35.30239433752705,20,5.454902103539766
CAT-MLE,841,-1.1896666590903613,Sangat Rendah,29.847492233987282,25.169759500114907,20,-4.677732733872375
RB-Prior,841,-1.1896666590903613,Sangat Rendah,29.847492233987282,44.98869630746043,37,15.141204073473148
RB-NoPrior,841,-1.1896666590903613,Sangat Rendah,29.847492233987282,36.633266533066106,40,6.785774299078824
CAT-EAP,842,-0.6243453897132241,Rendah,41.00281642599587,48.093988659197926,20,7.091172233202059
CAT-MLE,842,-0.6243453897132241,Rendah,41.00281642599587,36.87473112865362,20,-4.1280852973422455
RB-Prior,842,-0.6243453897132241,Rendah,41.00281642599587,49.672526714925894,40,8.669710288930027
RB-NoPrior,842,-0.6243453897132241,Rendah,41.00281642599587,39.27525622254759,40,-1.7275602034482773
CAT-EAP,843,-0.18452535765584954,Sedang,50.212016308597484,57.40101407429633,20,7.1889977656988435
CAT-MLE,843,-0.18452535765584954,Sedang,50.212016308597484,52.81146678584005,20,2.599450477242563
RB-Prior,843,-0.18452535765584954,Sedang,50.212016308597484,47.19783929777179,40,-3.0141770108256907
RB-NoPrior,843,-0.18452535765584954,Sedang,50.212016308597484,62.866108786610866,40,12.654092478013382
CAT-EAP,844,-0.6047446645382127,Rendah,41.40750600385154,43.02151136419711,20,1.6140053603455726
CAT-MLE,844,-0.6047446645382127,Rendah,41.40750600385154,37.14089860189156,21,-4.2666074019599805
RB-Prior,844,-0.6047446645382127,Rendah,41.40750600385154,42.68451992161987,40,1.277013917768329
RB-NoPrior,844,-0.6047446645382127,Rendah,41.40750600385154,49.487554904831605,31,8.080048900980067
CAT-EAP,845,-2.205566057099069,Sangat Rendah,14.217098090031785,15.449381840044266,24,1.2322837500124812
CAT-MLE,845,-2.205566057099069,Sangat Rendah,14.217098090031785,10.262699528968495,29,-3.9543985610632895
RB-Prior,845,-2.205566057099069,Sangat Rendah,14.217098090031785,31.756756756756758,36,17.539658666724975
RB-NoPrior,845,-2.205566057099069,Sangat Rendah,14.217098090031785,28.703703703703706,20,14.486605613671921
CAT-EAP,846,0.8970661968871322,Sangat Tinggi,71.88757189663329,70.17381207315776,20,-1.7137598234755274
CAT-MLE,846,0.8970661968871322,Sangat Tinggi,71.88757189663329,69.17149153653445,21,-2.716080360098843
RB-Prior,846,0.8970661968871322,Sangat Tinggi,71.88757189663329,60.12470308788598,40,-11.762868808747307
RB-NoPrior,846,0.8970661968871322,Sangat Tinggi,71.88757189663329,66.73866090712744,20,-5.1489109895058505
CAT-EAP,847,1.2748750412787222,Sangat Tinggi,78.27592924204777,65.2871532320487,20,-12.988776009999071
CAT-MLE,847,1.2748750412787222,Sangat Tinggi,78.27592924204777,81.42827644431445,27,3.1523472022666823
RB-Prior,847,1.2748750412787222,Sangat Tinggi,78.27592924204777,67.70328102710413,40,-10.57264821494364
RB-NoPrior,847,1.2748750412787222,Sangat Tinggi,78.27592924204777,82.5068870523416,20,4.23095781029383
CAT-EAP,848,0.6515219913395057,Tinggi,67.30875857412924,66.30878755108968,20,-0.9999710230395635
CAT-MLE,848,0.6515219913395057,Tinggi,67.30875857412924,64.60854839891921,21,-2.7002101752100316
RB-Prior,848,0.6515219913395057,Tinggi,67.30875857412924,63.811440068985355,40,-3.4973185051438875
RB-NoPrior,848,0.6515219913395057,Tinggi,67.30875857412924,54.71374700034282,40,-12.595011573786422
CAT-EAP,849,-1.1376856704248166,Sangat Rendah,30.81946728334433,25.026911786608157,20,-5.792555496736174
CAT-MLE,849,-1.1376856704248166,Sangat Rendah,30.81946728334433,32.92674742144945,20,2.107280138105118
RB-Prior,849,-1.1376856704248166,Sangat Rendah,30.81946728334433,45.22184300341295,26,14.402375720068619
RB-NoPrior,849,-1.1376856704248166,Sangat Rendah,30.81946728334433,47.174701918092246,31,16.355234634747916
CAT-EAP,850,-0.20149153394751798,Sedang,49.85428300819671,53.6172987382568,20,3.76301573006009
CAT-MLE,850,-0.20149153394751798,Sedang,49.85428300819671,32.974513194635755,21,-16.879769813560955
RB-Prior,850,-0.20149153394751798,Sedang,49.85428300819671,49.4802494802495,40,-0.374033527947212
RB-NoPrior,850,-0.20149153394751798,Sedang,49.85428300819671,52.736131934033,40,2.8818489258362874
CAT-EAP,851,-0.006521315229458062,Sedang,53.958847509160734,57.979708262655805,20,4.0208607534950715
CAT-MLE,851,-0.006521315229458062,Sedang,53.958847509160734,54.06056011788555,21,0.10171260872481724
RB-Prior,851,-0.006521315229458062,Sedang,53.958847509160734,52.79894004637298,40,-1.159907462787757
RB-NoPrior,851,-0.006521315229458062,Sedang,53.958847509160734,56.65329930732774,40,2.694451798167009
CAT-EAP,852,0.5987943895619102,Tinggi,66.28923933019719,71.70940320134738,20,5.420163871150194
CAT-MLE,852,0.5987943895619102,Tinggi,66.28923933019719,64.99723791176172,20,-1.2920014184354756
RB-Prior,852,0.5987943895619102,Tinggi,66.28923933019719,57.45214935676185,40,-8.83708997343534
RB-NoPrior,852,0.5987943895619102,Tinggi,66.28923933019719,73.81635581061695,20,7.527116480419764
CAT-EAP,853,0.6683404887180808,Tinggi,67.63146439447141,64.99138105903934,20,-2.6400833354320667
CAT-MLE,853,0.6683404887180808,Tinggi,67.63146439447141,61.65629791589461,21,-5.975166478576796
RB-Prior,853,0.6683404887180808,Tinggi,67.63146439447141,62.72314674735247,40,-4.908317647118935
RB-NoPrior,853,0.6683404887180808,Tinggi,67.63146439447141,56.91632928475034,40,-10.715135109721068
